epoch,binary_accuracy,loss,mean_squared_error
0,0.07883089168070587,0.03156768312786907,0.03156768312786907
1,0.07881181353350057,0.028679791221100044,0.028679791221100044
2,0.07879273540761676,0.02862258053119482,0.02862258053119482
3,0.07879273540761676,0.028578286744473373,0.028578286744473373
4,0.07878319634467486,0.0285389270913197,0.0285389270913197
5,0.07877365726041147,0.028503488842014143,0.028503488842014143
6,0.07876411819746956,0.0284706598754133,0.0284706598754133
7,0.07874504007158575,0.028445709383732642,0.028445709383732642
8,0.07874504007158575,0.02842666834167242,0.02842666834167242
9,0.07874504007158575,0.028412096429020917,0.028412096429020917
